City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-08-26 19:46:07,42.6,-73.97,71.01,35,66,12.17
1,Cahors,FR,2020-08-26 19:47:08,44.42,1.33,75.99,64,87,3.36
2,Castro,BR,2020-08-26 19:47:08,-24.79,-50.01,65.52,63,0,6.02
3,New Norfolk,AU,2020-08-26 19:47:08,-42.78,147.06,48.0,86,65,1.01
4,Busselton,AU,2020-08-26 19:47:08,-33.65,115.33,48.99,79,48,3.6
5,Belyy Yar,RU,2020-08-26 19:47:08,53.6,91.39,51.8,93,2,4.99
6,Cidreira,BR,2020-08-26 19:47:08,-30.18,-50.21,64.54,79,0,17.63
7,Kapaa,US,2020-08-26 19:47:09,22.08,-159.32,82.4,74,40,14.99
8,Jiangyou,CN,2020-08-26 19:47:09,31.77,104.72,72.03,81,0,2.55
9,Vaini,TO,2020-08-26 19:47:09,-21.2,-175.2,64.4,100,20,3.36
10,Itaquyry,PY,2020-08-26 19:47:09,-24.93,-55.22,78.24,51,0,6.06
11,Lebu,CL,2020-08-26 19:47:09,-37.62,-73.65,52.34,79,75,18.52
12,Obregon,NI,2020-08-26 19:47:09,11.96,-85.96,80.6,78,75,11.41
13,Byron Bay,AU,2020-08-26 19:46:08,-28.65,153.62,50.0,93,90,3.36
14,Nikolskoye,RU,2020-08-26 19:47:10,59.7,30.79,57.2,71,40,3.98
15,Port Alfred,ZA,2020-08-26 19:47:10,-33.59,26.89,58.6,64,70,16.42
16,Los Llanos De Aridane,ES,2020-08-26 19:47:10,28.66,-17.92,78.8,78,20,10.29
17,Carnarvon,AU,2020-08-26 19:47:10,-24.87,113.63,62.6,77,0,13.87
18,Kruisfontein,ZA,2020-08-26 19:47:10,-34.0,24.73,51.01,84,19,1.01
19,Te Anau,NZ,2020-08-26 19:47:11,-45.42,167.72,37.08,89,83,1.25
20,Codrington,AU,2020-08-26 19:47:11,-38.27,141.97,46.04,87,73,12.15
21,Fort Morgan,US,2020-08-26 19:47:11,40.25,-103.8,98.6,13,40,8.05
22,Nuevitas,CU,2020-08-26 19:47:11,21.55,-77.26,91.4,55,40,9.17
23,Rikitea,PF,2020-08-26 19:47:11,-23.12,-134.97,68.43,58,1,3.47
